"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
724|"7Cia4WzapwjMr0NUQF8vf3"|"Seafret"|"Oceans"|216186|"Oceans - EP"|1|"2015-01-21"|5|0.404|0.48|9|-8.906|0|0.0303|0.274|8.63e-06|0.132|0.2|129.162|3
725|"0AG2l0IboWNSwjUkMr2Aq7"|"The 1975"|"Be My Mistake"|256688|"A Brief Inquiry Into Online Relationships"|6|"2018-11-30"|15|0.572|0.155|6|-14.405|1|0.0344|0.835|0.000137|0.0906|0.0949|109.923|3
726|"1elEZGOMFRU5n7bnOtUaqi"|"Julian"|"cry on airplanes"|226000|"cry on airplanes"|1|"2020-04-10"|1|0.763|0.372|5|-7.07|1|0.0683|0.548|0.000638|0.116|0.76|85.01|4
727|"5rLZGAZOstOC3fqhmGChvK"|"Beirut"|"Goshen"|200146|"East Harlem"|2|"2011-06-14"|2|0.284|0.262|11|-9.869|1|0.028|0.848|0.00483|0.0966|0.107|98.66|4
728|"1vNfYCzcCJz0FY7MVVA9lM"|"Shannon Lay"|"Recording 15"|242000|"Living Water"|9|"2017-09-22"|14|0.552|0.126|11|-18.014|1|0.0306|0.956|0.0153|0.109|0.439|92.441|4
729|"5aFSzu0b7ccAYjTkbTNTsQ"|"Aquilo"|"Losing You"|205859|"Human"|4|"2014-12-08"|4|0.383|0.446|0|-8.693|0|0.0382|0.63|0|0.0946|0.213|77.399|4
730|"3obZywY64ooasDLV1cVC7X"|"Valentin"|"The Scientist"|243896|"The Scientist"|1|"2020-08-28"|1|0.555|0.284|4|-9.788|1|0.027|0.91|0|0.11|0.276|77.037|4
731|"13iMiwdY7pgE1f7NwYKr1D"|"Bazzi"|"Renee's Song"|130545|"Renee's Song"|1|"2020-04-01"|2|0.593|0.229|9|-8.888|1|0.0307|0.794|0|0.167|0.42|117.823|4
732|"2v8GT5HHcqFaTXS2xijw4r"|"Hayd"|"Changes"|214814|"Changes"|1|"2020-11-13"|1|0.648|0.115|6|-17.133|1|0.0445|0.939|3.88e-05|0.11|0.29|119.967|4
733|"4gkoh2vAD57fGEITzteaUh"|"Foals"|"London Thunder"|254426|"London Thunder"|1|"2015-08-24"|1|0.489|0.357|6|-9.745|1|0.0259|0.641|0.333|0.0838|0.0388|92.009|4
