"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
157|"0k79twDYBMpqqjVLuEnYkh"|"Anne-Marie"|"x2"|162040|"Therapy"|1|"2021-07-23"|12|0.865|0.578|6|-7.594|0|0.0553|0.0958|1.19e-06|0.147|0.241|110.025|4
158|"7E5lsR0QIGD6DC9eDdwCmR"|"Emeli Sandé"|"My Kind Of Love - Radio Mix"|199880|"My Kind Of Love"|1|"2012-01-01"|5|0.373|0.717|5|-2.775|0|0.0443|0.577|1.95e-06|0.323|0.42|174.581|4
159|"7bcy34fBT2ap1L4bfPsl9q"|"Billie Eilish"|"I Didn't Change My Number"|158463|"Happier Than Ever"|2|"2021-07-30"|16|0.849|0.48|9|-5.835|1|0.226|0.612|0.269|0.295|0.677|142.021|4
160|"38GBNKZUhfBkk3oNlWzRYd"|"Billie Eilish"|"NDA"|195776|"Happier Than Ever"|13|"2021-07-30"|16|0.765|0.373|8|-9.921|1|0.0713|0.341|0.525|0.112|0.554|85.016|4
161|"2xdwCJLfKCkat14mlgR26M"|"Billie Eilish"|"Lost Cause"|212496|"Lost Cause"|1|"2021-06-02"|1|0.671|0.336|10|-8.494|0|0.241|0.705|0.00751|0.0577|0.518|75.051|4
162|"5CZ40GBx1sQ9agT82CLQCT"|"Olivia Rodrigo"|"traitor"|229226|"SOUR"|2|"2021-05-21"|11|0.38|0.339|3|-7.885|1|0.0338|0.691|0|0.12|0.0849|100.607|4
163|"7INsqwNThfLFC9zKK1BYmq"|"Olivia O'Brien"|"Find What You're Looking For"|187219|"Find What You're Looking For"|1|"2016-10-21"|1|0.725|0.417|7|-11.576|1|0.0899|0.544|0|0.0932|0.551|120.606|4
164|"0Kryggxs2gZqnkujFYEH1D"|"Anne-Marie"|"Tell Your Girlfriend"|134893|"Therapy"|10|"2021-07-23"|12|0.747|0.536|5|-5.536|0|0.0798|0.175|0|0.0423|0.82|95.489|4
165|"4y3g40TWe7fCWCayJZuGvw"|"Madison Beer"|"Good In Goodbye"|141949|"Life Support"|2|"2021-02-26"|17|0.658|0.698|11|-5.95|0|0.177|0.433|0|0.174|0.456|139.054|4
166|"7N1TIml2jRQRgXUrpXgXrk"|"Halsey"|"Easier than Lying"|206346|"If I Can’t Have Love, I Want Power"|3|"2021-08-27"|13|0.474|0.869|6|-4.067|0|0.17|8.36e-05|0.46|0.123|0.33|181.992|4
167|"0AMKBZBzdgp0054s9DORsv"|"Halsey"|"The Lighthouse"|273386|"If I Can’t Have Love, I Want Power"|12|"2021-08-27"|13|0.324|0.614|9|-6.217|0|0.0338|0.137|0.000633|0.305|0.295|123.145|4
168|"7l3OQbWE1gvd4204aEgAz8"|"Olivia O'Brien"|"NOW"|182866|"NOW"|1|"2020-09-18"|1|0.765|0.776|7|-4.109|0|0.0355|0.184|0|0.245|0.812|148.094|4
169|"4oGTdOClZUxcM2H3UmXlwL"|"Alanis Morissette"|"Ironic"|225933|"Jagged Little Pill"|10|"1995-06-09"|13|0.495|0.595|11|-7.57|1|0.0443|0.246|0|0.236|0.392|85.341|4
170|"0kF0fz89HNJ1afzJ1IE1rP"|"Madison Beer"|"Say It to My Face"|189694|"As She Pleases"|7|"2018-02-02"|7|0.753|0.566|11|-4.763|0|0.435|0.169|0|0.276|0.591|113.884|4
171|"3BtuIIrQlkujKPuWF2B85z"|"Drake"|"Too Good"|263373|"Views"|16|"2016-05-06"|20|0.794|0.653|7|-7.839|1|0.104|0.0489|4.88e-05|0.1|0.397|117.996|4
172|"3l3KNYbuDBpM9YBo878utU"|"Olivia O'Brien"|"Care Less More"|176480|"Was It Even Real?"|7|"2019-04-26"|10|0.745|0.406|5|-8.307|0|0.281|0.617|0|0.125|0.744|128.168|4
173|"01BC4Xj5tfsfV8DLDrma7q"|"Anne-Marie"|"Ciao Adios"|199773|"Speak Your Mind (Deluxe)"|2|"2018-04-27"|18|0.694|0.853|7|-3.986|1|0.0934|0.136|0|0.322|0.501|106.098|4
174|"15JINEqzVMv3SvJTAXAKED"|"Eminem"|"Love The Way You Lie"|263373|"Recovery"|15|"2010-06-18"|17|0.749|0.925|10|-5.034|1|0.227|0.241|0|0.52|0.641|86.989|4
175|"0BmHLzYMid4yN5BSVUiilM"|"Jan Metternich"|"Dead End"|193600|"Dead End"|1|"2021-01-29"|1|0.71|0.356|3|-12.336|0|0.079|0.701|0|0.0988|0.542|150.062|4
176|"32BeYxKPrig1LefHsC0Xuo"|"Billie Eilish"|"Happier Than Ever - Edit"|151444|"Happier Than Ever (Edit)"|1|"2021-07-28"|1|0.334|0.599|0|-5.742|1|0.0365|0.0468|0.000392|0.205|0.127|161.74|3
177|"0ABeME5fOK9X8dfqx6V98C"|"Sody"|"Bitch (I Said It)"|191462|"Bitch (I Said It)"|1|"2021-10-01"|1|0.755|0.529|0|-6.066|0|0.0986|0.0834|2.77e-05|0.27|0.228|112.035|4
178|"50yHVBbU6M4iIfqBI1bxWx"|"Adele"|"Rumour Has It"|223266|"21"|2|"2011-01-19"|11|0.612|0.748|0|-5.014|1|0.0445|0.617|0|0.167|0.574|120.052|4
179|"2BrzlUj1u1CtvaJDGIKpsP"|"Noah Cyrus"|"Make Me (Cry)"|242081|"Make Me (Cry)"|1|"2016-11-15"|1|0.588|0.471|0|-7.287|1|0.0577|0.592|0.00146|0.0733|0.209|152.881|4
180|"3Z39gbqdaGL3WJXBG0gcuE"|"Conan Gray"|"Telepath"|194973|"Telepath"|1|"2021-10-29"|1|0.606|0.819|9|-4.804|1|0.049|0.00298|0|0.0702|0.744|75.006|4
181|"3NilZVPKLumm0f6UMfEw2Y"|"Cate"|"Moments"|196113|"Moments"|1|"2021-10-29"|1|0.498|0.678|2|-4.487|1|0.0386|0.268|0|0.133|0.427|73.41|4
182|"7reG3QYhefsJNpcVJq4BZr"|"Little Mix"|"No"|183021|"Between Us (Deluxe Version)"|3|"2021-11-12"|26|0.793|0.842|8|-3.563|0|0.0804|0.165|0|0.107|0.747|120.008|4
183|"6NmigMZ7Yb0BLgc20LW7ui"|"Little Mix"|"Cut You Off"|173653|"Between Us (Deluxe Version)"|24|"2021-11-12"|26|0.71|0.757|0|-3.845|1|0.123|0.0432|0|0.0513|0.648|115.042|4
184|"2Tb4Us0GhAuCpEsqOdTmmy"|"Little Mix"|"Trash"|173249|"Between Us (Deluxe Version)"|25|"2021-11-12"|26|0.617|0.761|2|-5.392|0|0.0591|0.135|0|0.263|0.528|160.08|4
185|"4l0Mvzj72xxOpRrp6h8nHi"|"Selena Gomez"|"Lose You To Love Me"|206458|"Rare"|4|"2020-01-10"|13|0.488|0.343|4|-8.985|1|0.0436|0.556|0|0.21|0.0978|102.819|4
186|"1EQFOouqdKYdpbNoOHRVO2"|"GAYLE"|"abcdefu (angrier)"|159836|"abcdefu (angrier)"|1|"2021-09-24"|4|0.671|0.599|4|-6.18|1|0.0405|0.0658|0|0.101|0.448|121.849|3
187|"1yCrrZwlYPS3AqQHsJvFlu"|"Dylan"|"You're Not Harry Styles"|176530|"You're Not Harry Styles"|1|"2021-11-26"|3|0.553|0.767|6|-4.557|1|0.0741|0.00681|2.95e-06|0.0903|0.669|165.059|4
188|"4bJygwUKrRgq1stlNXcgMg"|"t.A.T.u."|"All The Things She Said"|214440|"200 KM/H In The Wrong Lane (10th Anniversary Edition)"|3|"2002"|15|0.603|0.834|5|-5.766|0|0.0417|0.0411|0.00609|0.105|0.376|89.957|4
189|"6K4r3XENOKeXFTKlBlAJLC"|"Katy Perry"|"Hot N Cold - Rock Version"|220360|"Hot N Cold"|1|"2008-01-01"|1|0.544|0.892|7|-3.222|1|0.046|0.000717|0|0.0731|0.45|131.986|4
190|"7nIPkUEV3HYE7yzXHvGOVB"|"Tate McRae"|"vicious"|182929|"vicious"|1|"2020-06-19"|1|0.728|0.724|5|-5.783|0|0.077|0.0367|1.87e-06|0.116|0.483|156.227|4
191|"4ZtFanR9U6ndgddUvNcjcG"|"Olivia Rodrigo"|"good 4 u"|178146|"SOUR"|6|"2021-05-21"|11|0.563|0.664|9|-5.044|1|0.154|0.335|0|0.0849|0.688|166.928|4
192|"3ko9jEHNt4O5fjKN65ULJp"|"Ariana Grande"|"shut up"|157710|"Positions"|1|"2020-10-30"|14|0.499|0.462|0|-5.308|1|0.0312|0.801|0|0.0946|0.599|127.698|4
193|"4OSBTYWVwsQhGLF9NHvIbR"|"Adele"|"Rolling in the Deep"|228093|"21"|1|"2011-01-24"|11|0.73|0.769|8|-5.114|1|0.0298|0.138|0|0.0473|0.507|104.948|4
194|"4jTiyLlOJVJj3mCr7yfPQD"|"Rae Sremmurd"|"This Could Be Us"|206306|"SremmLife"|5|"2015-01-06"|11|0.732|0.69|0|-4.992|0|0.134|0.291|0|0.116|0.758|143.072|4
195|"4yb8suVmTLxvSb8hT6EmT6"|"EMELINE"|"this is how i learn to say no"|142965|"this is how i learn to say no"|1|"2021-08-20"|1|0.378|0.587|10|-7.755|1|0.163|0.232|0|0.455|0.498|181.452|3
196|"6E37j4b44JGpdk297urpKM"|"Bea Miller"|"like that"|185546|"aurora"|5|"2018-02-23"|14|0.573|0.441|6|-5.799|0|0.0758|0.186|0|0.61|0.389|61.657|4
197|"1WzOonguDKuWQrTTf5yR0D"|"Conan Gray"|"Jigsaw"|208969|"Jigsaw"|1|"2022-01-21"|1|0.273|0.517|9|-5.853|1|0.0313|0.0801|0|0.0984|0.16|168.213|4
198|"3xl7PsO7Hzuig6To9FgDm6"|"Anastacia"|"Left Outside Alone"|257426|"Anastacia"|2|"2004"|12|0.663|0.746|2|-3.567|0|0.0321|0.0697|0|0.0929|0.325|102.847|4
199|"5dXWFMwD7I7zXsInONVl0H"|"SZA"|"I Hate U"|174000|"I Hate U"|1|"2021-12-03"|1|0.535|0.388|7|-9.805|0|0.155|0.507|0|0.11|0.412|106.703|5
200|"0dsd9LUwFeeujPxdqPmqsg"|"Peyton List"|"Liar Liar"|182523|"Liar Liar"|1|"2018-11-02"|1|0.711|0.604|5|-5.392|1|0.0503|0.0213|0.00158|0.0571|0.361|175.597|3
201|"5lAnYvAIkSDNXqfo7DyFUm"|"Doja Cat"|"Ain't Shit"|174253|"Planet Her"|11|"2021-06-25"|14|0.855|0.488|3|-4.601|1|0.208|0.506|0|0.347|0.619|124.097|4
