"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
684|"0eH2eHURaXUP15D8gQlfjx"|"Lady Gaga"|"LoveGame"|216333|"The Fame"|2|"2008-01-01"|15|0.894|0.678|6|-5.611|0|0.0523|0.00569|2.43e-06|0.317|0.844|105.024|4
685|"228BxWXUYQPJrJYHDLOHkj"|"Daddy Yankee"|"Gasolina"|192600|"Barrio Fino (Bonus Track Version)"|5|"2004-07-13"|23|0.852|0.797|0|-6.543|1|0.0614|0.322|2.69e-06|0.0845|0.741|96.008|4
686|"6kex4EBAj0WHXDKZMEJaaF"|"Jason Derulo"|"Swalla (feat. Nicki Minaj & Ty Dolla $ign)"|216408|"Swalla (feat. Nicki Minaj & Ty Dolla $ign)"|1|"2017-02-23"|1|0.696|0.817|1|-3.862|1|0.109|0.075|0|0.187|0.782|98.064|4
687|"0xMd5bcWTbyXS7wPrBtZA6"|"Ellie Goulding"|"Burn"|231211|"Halcyon Days"|14|"2013-01-01"|21|0.559|0.777|1|-5.031|1|0.0432|0.31|0|0.105|0.329|87.016|4
688|"5eqiMMbaeUZ32Q7sS00H35"|"Nicki Minaj"|"Anaconda"|260240|"The Pinkprint (International Deluxe Explicit)"|12|"2014-12-15"|21|0.964|0.605|9|-6.223|1|0.179|0.0668|7.78e-06|0.214|0.646|129.994|4
689|"1QV6tiMFM6fSOKOGLMHYYg"|"Lady Gaga"|"Poker Face"|237200|"The Fame"|4|"2008-01-01"|15|0.851|0.806|4|-4.62|1|0.0787|0.118|1.64e-06|0.121|0.787|118.999|4
690|"3KwwE4sgCzMaKWq6QBebmX"|"Meghan Trainor"|"Me Too"|181240|"Thank You (Deluxe Version)"|2|"2017-05-12"|17|0.934|0.694|11|-5.849|0|0.101|0.0971|1.2e-06|0.477|0.833|123.831|4
691|"3Vo4wInECJQuz9BIBMOu8i"|"Bruno Mars"|"Finesse - Remix; feat. Cardi B"|217288|"Finesse (Remix) [feat. Cardi B]"|1|"2017-12-20"|1|0.704|0.859|5|-4.877|0|0.0996|0.0185|0|0.0215|0.926|105.115|4
692|"2WfaOiMkCvy7F5fcp2zZ8L"|"a-ha"|"Take on Me"|225280|"Hunting High and Low"|1|"1985-06-01"|10|0.573|0.902|6|-7.638|0|0.054|0.018|0.00125|0.0928|0.876|84.412|4
693|"6cx06DFPPHchuUAcTxznu9"|"Joel Corry"|"Head & Heart (feat. MNEK)"|166028|"Head & Heart (feat. MNEK)"|1|"2020-07-03"|1|0.734|0.874|8|-3.158|1|0.0662|0.168|1.14e-05|0.0489|0.905|122.953|4
694|"6Tsu3OsuMz4KEGKbOYd6A0"|"The Notorious B.I.G."|"Hypnotize - 2007 Remaster"|230000|"Greatest Hits"|3|"2007-03-05"|17|0.895|0.694|9|-4.384|1|0.275|0.176|0|0.292|0.632|93.944|4
695|"127uq83uGFapbddqiMUKky"|"David Guetta"|"Sexy Bitch (feat. Akon)"|195853|"One More Love"|3|"2010-11-22"|28|0.813|0.627|11|-5.018|0|0.0486|0.0771|0.000616|0.131|0.801|130.011|4
696|"2Ld2LehpgQNREMxl9LlIzm"|"Vengaboys"|"Boom, Boom, Boom, Boom!!"|202583|"Boom, Boom, Boom, Boom!!"|1|"1998"|3|0.801|0.947|11|-4.624|0|0.0387|0.0118|0.427|0.0248|0.968|138.489|4
697|"1XGmzt0PVuFgQYYnV2It7A"|"Maroon 5"|"Payphone"|231173|"Overexposed Track By Track"|4|"2012-01-01"|33|0.743|0.752|4|-4.813|1|0.0414|0.0188|0|0.287|0.545|110.015|4
698|"0k5hoseEJnCAbpRh38dNoI"|"Meghan Trainor"|"Title"|174733|"Title (Deluxe)"|9|"2015-01-09"|15|0.779|0.754|5|-4.358|1|0.0966|0.343|2.6e-06|0.0965|0.883|89.998|4
699|"03UrZgTINDqvnUMbbIMhql"|"PSY"|"Gangnam Style (강남스타일)"|219493|"Gangnam Style (강남스타일)"|1|"2012-01-01"|1|0.727|0.937|11|-2.871|0|0.286|0.00417|0|0.091|0.749|132.067|4
700|"3DmW6y7wTEYHJZlLo1r6XJ"|"Becky G"|"Shower"|206166|"Shower"|1|"2014-04-23"|1|0.699|0.529|2|-7.548|1|0.0487|0.0317|3.59e-05|0.285|0.121|119.987|4
701|"0dZpw3h6KZhcHec61qwevZ"|"Conkarah"|"Banana (feat. Shaggy) - DJ FLe - Minisiren Remix"|210328|"Banana (feat. Shaggy) [DJ FLe - Minisiren Remix]"|1|"2020-05-15"|2|0.824|0.854|8|-5.312|1|0.177|0.016|4.95e-05|0.117|0.896|95.114|4
702|"5l3CML2OnzfNs5RfVgbcLt"|"Jason Derulo"|"Talk Dirty (feat. 2 Chainz)"|177685|"Tattoos"|2|"2013-09-10"|11|0.76|0.652|6|-7.321|1|0.232|0.0348|0|0.307|0.759|100.315|4
703|"7cGfrVoC7G03XeXn7yflx5"|"Junior Senior"|"Move Your Feet"|181826|"D-D-Don't Don't Stop the Beat"|3|"2002-04-03"|11|0.747|0.904|9|-2.623|1|0.0803|0.046|0.106|0.203|0.846|118.877|4
704|"1riPE3NCV1OBmSXqpYiMJY"|"Ronnie Flex"|"Energie"|165534|"Rémi"|9|"2017-06-30"|15|0.848|0.598|11|-7.087|1|0.214|0.102|0|0.151|0.678|100.001|4
705|"1mCsF9Tw4AkIZOjvZbZZdT"|"Matthew Wilder"|"Break My Stride"|184480|"I Don't Speak The Language"|1|"1983-03-19"|9|0.917|0.588|10|-11.047|1|0.0607|0.195|0|0.0914|0.828|110.077|4
706|"5TgD3Wh5ZUZnUU4tmVvJbx"|"The Weather Girls"|"It's Raining Men"|212000|"80s 100 Hits"|45|"2010-02-26"|100|0.705|0.898|5|-6.371|0|0.0702|0.207|0.00118|0.702|0.657|136.282|4
707|"5XsMz0YfEaHZE0MTb1aujs"|"Wham!"|"Wake Me Up Before You Go-Go"|230693|"Make It Big"|1|"1984-10-23"|8|0.618|0.764|0|-6.027|1|0.0562|0.186|0|0.12|0.876|81.366|4
708|"4650WGL6InVqP7YN5POqIz"|"LMFAO"|"Party Rock Anthem"|262146|"Sorry For Party Rocking"|3|"2010-12-01"|16|0.751|0.736|5|-4.168|0|0.156|0.0206|0|0.265|0.352|130.014|4
709|"1HOlb9rdNOmy9b1Fakicjo"|"The Chainsmokers"|"#SELFIE"|183750|"#SELFIE"|1|"2014-01-01"|1|0.789|0.916|0|-3.262|1|0.249|0.0135|8.09e-06|0.077|0.658|127.956|4
710|"4w8niZpiMy6qz1mntFA5uM"|"DJ Snake"|"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"|212500|"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"|1|"2018-09-28"|1|0.842|0.801|8|-4.167|0|0.228|0.157|4.82e-06|0.0642|0.617|95.881|4
