"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
577|"02H1K5Cw9Ar89b35XwSEw6"|"Ricky Montgomery"|"My Heart Is Buried In Venice"|184866|"Montgomery Ricky"|7|"2016-04-08"|10|0.67|0.413|11|-8.117|1|0.0273|0.441|8.63e-05|0.0902|0.145|112.011|3
578|"7Me3GKpQyEsHwS9xnOrUgM"|"Doja Cat"|"You Right"|186173|"Planet Her (Deluxe)"|8|"2021-06-27"|19|0.828|0.621|8|-6.414|1|0.0565|0.0164|0.00233|0.0845|0.436|128.986|4
579|"5goZCkRmpk5tWTX3Af6XRL"|"Cavetown"|"Teenage Dirtbag (feat. chloe moriondo)"|199688|"Teenage Dirtbag (feat. chloe moriondo)"|1|"2021-10-22"|1|0.367|0.373|8|-9.296|1|0.0361|0.61|0|0.135|0.476|94.182|1
580|"0HeiYo9WwMT8ujirrWzarf"|"keshi"|"SOMEBODY"|164662|"SOMEBODY"|1|"2021-10-22"|1|0.649|0.461|8|-8.401|1|0.0449|0.44|0|0.108|0.485|141.102|4
581|"6tH1lxPcQConWuvlh85yFT"|"GAYLE"|"abcdefu (chill)"|176765|"abcdefu (chill)"|1|"2021-09-17"|3|0.554|0.429|1|-7.687|0|0.0334|0.0405|0|0.23|0.195|112.899|4
582|"69UqtTHfUKAJweQwEStRzC"|"Cigarettes After Sex"|"Sunsetz"|214680|"Cigarettes After Sex"|3|"2017-06-09"|10|0.412|0.477|9|-9.381|0|0.029|0.0542|0.798|0.0975|0.141|75.302|4
583|"6eDfe957aV4sqGnDhlSikJ"|"Rich Brian"|"Drive Safe"|240118|"The Sailor"|5|"2019-07-26"|12|0.635|0.312|7|-8.134|1|0.0265|0.635|0|0.138|0.414|98.017|4
584|"7AE1oyRpPGoSwDs8b9XBO0"|"88rising"|"Split"|207013|"Split"|1|"2021-11-18"|1|0.691|0.509|8|-8.343|1|0.0352|0.431|0.00682|0.0885|0.473|113.961|3
585|"6QF3r4zBRYgQTJCiF3tb9f"|"Delaney Bailey"|"For You"|140485|"This Is About You"|1|"2021-11-12"|4|0.335|0.17|7|-15.843|1|0.0453|0.809|0|0.309|0.348|175.982|3
586|"5XFHQV7cxMNxLVl78M4LpB"|"Delaney Bailey"|"I Don't Need You To Survive"|140383|"This Is About You"|4|"2021-11-12"|4|0.382|0.14|3|-14.815|0|0.0448|0.931|3.2e-06|0.287|0.429|109.234|5
