"n"|"id"|"artist_name"|"name"|"duration_ms"|"album_name"|"track_number"|"release_date"|"total_tracks"|"danceability"|"energy"|"key"|"loudness"|"mode"|"speechiness"|"acousticness"|"instrumentalness"|"liveness"|"valence"|"tempo"|"time_signature"
281|"0V8FYVlBFuXXTIvRnMbZyS"|"Miley Cyrus"|"The Climb"|236066|"Hannah Montana The Movie"|8|"2009-01-01"|18|0.327|0.588|4|-6.611|1|0.0336|0.0834|0|0.104|0.329|161.074|4
282|"1hGy2eLcmC8eKx7qr1tOqx"|"Sean Kingston"|"Beautiful Girls"|225373|"Beautiful Girls"|1|"2007-07-23"|1|0.762|0.661|1|-6.075|0|0.0687|0.15|0|0.256|0.769|130.009|4
283|"0u2P5u6lvoDfwTYjAADbn4"|"Billie Eilish"|"lovely (with Khalid)"|200185|"lovely (with Khalid)"|1|"2018-04-19"|1|0.351|0.296|4|-10.109|0|0.0333|0.934|0|0.095|0.12|115.284|4
284|"4KBx9DSSbFaumwlEqjX4CP"|"Ariana Grande"|"thank u, next"|207320|"thank u, next"|11|"2018-02-07"|12|0.743|0.662|1|-5.745|1|0.0534|0.268|1.36e-06|0.102|0.408|107.027|4
285|"1pV9TLnQdOHbvourRO7x4m"|"Jeremy Zucker"|"comethru (bonus track)"|181613|"love is not dying"|15|"2020-04-17"|15|0.795|0.18|0|-12.293|1|0.0608|0.59|0|0.621|0.611|94.02|4
286|"0F57gwy0G6aqnaMAH1ELSV"|"Ūla"|"Futon"|156545|"Futon"|1|"2020-10-15"|1|0.852|0.61|2|-5.856|1|0.049|0.734|5.97e-06|0.111|0.713|117.99|4
287|"5PmtPTXrLqgqQfqngsUqZp"|"sammy rash"|"summer&cigarettes"|114427|"summer&cigarettes"|1|"2021-03-26"|1|0.834|0.402|5|-10.277|0|0.072|0.76|0|0.279|0.684|122.008|4
288|"5hVcvSRJffS8GcSBHTIaRG"|"Ellie Williams"|"Clueless"|160000|"Clueless"|1|"2020-10-29"|1|0.76|0.447|10|-7.922|1|0.365|0.504|0.00227|0.0959|0.368|96.046|4
289|"33pEKWX4isAp2xAp82gzbj"|"Coco Jones"|"Me And You"|216600|"Let It Shine (Original Soundtrack)"|3|"2012-06-12"|13|0.619|0.894|2|-5.127|1|0.0457|0.183|9.48e-06|0.172|0.676|92.015|4
290|"3hf7tTSZ6jgIdLIiT9Kgq0"|"chloe moriondo"|"not okay (feat. mazie)"|163800|"not okay (feat. mazie)"|1|"2021-08-13"|1|0.716|0.42|9|-7.229|1|0.031|0.541|0|0.135|0.538|79.868|4
291|"3qOcLXQaamgc5R7pDQKQQp"|"Fiji Blue"|"Butterflies"|176480|"Butterflies"|1|"2020-05-07"|1|0.729|0.525|8|-7.241|1|0.0995|0.228|4.36e-05|0.309|0.782|110.012|4
292|"4VONhqGmUBlYmlBKQlyims"|"sammy rash"|"time limits"|150093|"time limits"|1|"2021-06-04"|1|0.826|0.449|8|-8.294|1|0.0709|0.555|0|0.219|0.962|84.012|4
293|"3X91uoqAVtHmqv1bvZbNog"|"joe p"|"Off My Mind"|213716|"Off My Mind"|1|"2021-05-12"|1|0.57|0.688|0|-7.48|1|0.032|0.308|1.96e-05|0.151|0.749|111.993|4
294|"5lNLkYfhy8hqA8yey1ue7t"|"Claire Rosinkranz"|"Fall Apart"|179692|"6 Of A Billion"|4|"2021-07-09"|6|0.553|0.201|7|-12.336|1|0.0687|0.879|0|0.0853|0.0865|58.082|4
295|"0UMFm4ndFr3PH5VsVYnCNG"|"ROLE MODEL"|"forever&more"|175608|"forever&more"|1|"2021-07-22"|1|0.694|0.637|9|-5.896|1|0.0806|0.298|9.69e-06|0.123|0.506|83.982|4
296|"2oENJa1T33GJ0w8dC167G4"|"Sean Kingston"|"Fire Burning"|239986|"Tomorrow"|3|"2009-09-07"|14|0.839|0.804|1|-2.513|1|0.0329|0.0192|0|0.331|0.888|122.973|4
297|"0awuNCj9gwJEM0seER22DW"|"Clinton Kane"|"CHICKEN TENDIES"|196844|"CHICKEN TENDIES"|1|"2021-02-19"|3|0.57|0.689|7|-6.242|1|0.147|0.358|0|0.0819|0.568|100.087|4
298|"64o1r6z5k2HmTglC2D4IKm"|"Peach Tree Rascals"|"Mariposa - Acoustic"|216612|"Mariposa (Acoustic)"|1|"2020-07-17"|2|0.689|0.296|9|-11.051|1|0.0402|0.83|0|0.151|0.473|109.079|4
299|"2769RhOZs0ezRncRW1vryp"|"Ashe"|"Till Forever Falls Apart"|222860|"Till Forever Falls Apart"|1|"2021-03-02"|1|0.509|0.498|2|-6.94|1|0.0315|0.413|0|0.0674|0.283|99.729|4
